epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7665,1.74783,5.37522,1.83822,0.36244,0.1087,0.12701,0.07319,1.3524,4.28868,1.53112,7.5e-05,7.5e-05,7.5e-05
2,16.1768,1.00507,2.42059,1.19528,0.62984,0.7465,0.68702,0.54584,0.76711,1.95732,1.03699,0.000146413,0.000146413,0.000146413
3,21.2209,0.81801,1.37985,1.05649,0.80434,0.83609,0.87319,0.70628,0.75395,1.24673,0.97101,0.0002005,0.0002005,0.0002005
4,24.2769,0.76963,1.0749,1.01667,0.85437,0.87934,0.9035,0.73457,0.74957,1.05023,0.9851,0.000237263,0.000237263,0.000237263
5,27.2501,0.74628,0.9169,1.00142,0.87572,0.87615,0.91987,0.75254,0.72159,0.87142,0.95721,0.0002567,0.0002567,0.0002567
6,31.4488,0.67392,0.77118,0.96302,0.85765,0.87674,0.9364,0.75824,0.70761,0.76947,0.95006,0.000258812,0.000258812,0.000258812
7,35.8664,0.66053,0.69155,0.94476,0.87993,0.87002,0.94551,0.77273,0.67247,0.72322,0.91897,0.0002436,0.0002436,0.0002436
8,39.1279,0.68159,0.65243,0.9548,0.84484,0.9322,0.9532,0.77096,0.69101,0.65255,0.92297,0.000211063,0.000211063,0.000211063
9,41.9535,0.62201,0.65465,0.92209,0.92463,0.92672,0.96689,0.80204,0.64032,0.55202,0.90064,0.0001612,0.0001612,0.0001612
10,44.8257,0.59908,0.56883,0.93444,0.91279,0.95093,0.96622,0.81533,0.62457,0.51822,0.89499,9.40125e-05,9.40125e-05,9.40125e-05
